"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cul4A-RING E3 Ubiquitin Ligase Complex (GO:0031464)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"COP1;RBX1"
"MIB Complex (GO:0140275)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"HSPA9;MTX2"
"SAM Complex (GO:0001401)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"HSPA9;MTX2"
"Set1C/COMPASS Complex (GO:0048188)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"SETD1B;DPY30"
"Cytoplasmic Side Of Lysosomal Membrane (GO:0098574)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"EEF1A1;BORCS5"
"Mitochondrial Envelope (GO:0005740)","31/146",0.829461480698958,0.99998945479369,0,0,0.840567084223912,0.157168062666565,"AK2;CHCHD4;CHCHD5;CYB5R3;GPER1;FLVCR2;SLC25A20;PRELID3A;COA6;PRELID3B;BOK;PRELID2;PNPT1;MYOC;UQCC2;BNIP3;VPS13A;TIMM23;REXO2;IRGM;RNF144B;GATM;GPAM;OGDH;CYCS;VDAC1;TMBIM6;MICU1;FBXL4;SLC25A4;SLC25A33"
"Coated Vesicle (GO:0030135)","16/79",0.832179903502654,0.99998945479369,0,0,0.792206598658212,0.145533605583708,"SERPINA1;SGIP1;TNK2;CLTC;VPS33B;ECPAS;LMBRD1;DAB2;SNX18;AP1G1;MYL1;FCHO2;VTI1A;GPR107;VAMP3;PICALM"
"9+2 Motile Cilium (GO:0097729)","14/70",0.834438010630213,0.99998945479369,0,0,0.779867713931377,0.141153577713533,"ODF1;DNAH8;DNAH5;TACR2;DNAH9;ATP1A1;ATP1B1;AK8;TTLL3;CFAP58;SPACA3;SAXO1;SPATA19;SPACA9"
"Endolysosome (GO:0036019)","5/28",0.844739501067852,0.99998945479369,0,0,0.678366717198446,0.114458768823666,"ATG16L1;CLTC;TLR7;AP2B1;LGMN"
"SAGA Complex (GO:0000124)","4/23",0.845006373676286,0.99998945479369,0,0,0.656982803543512,0.110643202434388,"KAT2B;TADA2A;TMEM98;USP22"
"cullin-RING Ubiquitin Ligase Complex (GO:0031461)","37/174",0.845059286914175,0.99998945479369,0,0,0.841965876101902,0.141743685605706,"PRKN;ANAPC16;FBH1;CCNF;DCAF4L2;FBXO25;FBXO44;DCAF7;FBXL21P;DCAF1;DCAF17;CDC23;CAND1;FBXO4;FEM1C;ELOC;FBXO7;KLHDC10;PCMTD1;FBXW11;FEM1B;FBXO38;FBXL17;FBXO15;FBXL18;KLHL3;COMMD1;FBXL13;KLHL42;RBX1;KLHL20;APPBP2;GAN;FBXL5;FBXL4;ANAPC1;FBXL7"
"Vacuolar Lumen (GO:0005775)","34/161",0.847871868187114,0.99998945479369,0,0,0.834655475039468,0.137739648633516,"PYGB;SERPINA3;ASAH1;HEXB;SDC3;GDI2;PRELP;ORM2;HEBP2;CYB5R3;TTR;NAGLU;CREG1;LAMP2;IDS;MAPK1;GYG1;SLC18A1;GPC6;NHLRC3;ARG1;OMD;RNASE3;LYZ;DCN;TADA2A;TUBB2A;NAAA;CSPG5;SDC1;FMOD;ACTR10;FRK;LGMN"
"Hrd1p Ubiquitin Ligase Complex (GO:0000836)","1/7",0.857066491986385,0.99998945479369,0,0,0.520236377379235,0.0802411425631128,"SEL1L"
"NMDA Selective Glutamate Receptor Complex (GO:0017146)","1/7",0.857066491986385,0.99998945479369,0,0,0.520236377379235,0.0802411425631128,"GRIN3A"
"cis-Golgi Network Membrane (GO:0033106)","1/7",0.857066491986385,0.99998945479369,0,0,0.520236377379235,0.0802411425631128,"BOK"
