"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Transcription Coregulator Binding (GO:0001221)","38/99",0.0207460448859237,0.693341174711383,0,0,1.56971707249184,6.08328100648925,"HDAC5;ZBTB8A;THRB;SMARCD3;CTBP2;CTBP1;EPAS1;LEF1;GATA6;CHD6;EHMT1;AKR1B1;RORA;ETS1;RXRA;ELOC;CREBBP;SMAD4;SMAD3;STAT1;ZBTB16;HMGA1;MED9;TRAPPC2B;PAX6;FOS;RUNX3;ESR1;PBX1;CIT;PER2;PER1;NR5A2;BCL6;ZNF618;CTNNB1;ATF7;PPARG"
"Retinoic Acid Binding (GO:0001972)","10/19",0.0226123379183221,0.693341174711383,0,0,2.79615941178771,10.5953738832792,"UGT1A10;CYP26C1;RXRA;UGT1A4;NR2F2;UGT1A9;UGT1A8;UGT1A7;UGT2B7;UGT1A6"
"Alanine Transmembrane Transporter Activity (GO:0022858)","8/14",0.0229424545370697,0.693341174711383,0,0,3.35491437954492,12.664017319512,"SLC36A1;SLC6A6;SLC36A3;SLC38A1;SLC36A2;SLC36A4;SLC38A2;SLC38A4"
"Transmembrane-Ephrin Receptor Activity (GO:0005005)","8/14",0.0229424545370697,0.693341174711383,0,0,3.35491437954492,12.664017319512,"EPHA5;EPHB6;EPHA4;EPHA7;EPHA6;EPHA1;EPHA3;EPHB3"
"Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175)","18/41",0.0248026790030775,0.693341174711383,0,0,1.97031463119339,7.28386623616641,"SLC36A1;SLC36A3;SLC38A1;SLC36A2;SLC6A15;SLC1A1;SLC43A1;SLC1A2;SLC1A3;SLC6A6;SLC7A9;SLC38A9;SFXN2;SLC25A12;SLC36A4;SLC38A2;SLC38A4;SLC25A13"
"BH Domain Binding (GO:0051400)","4/5",0.025318638402382,0.693341174711383,0,0,10.0611814345992,36.9870606617737,"BCL2;IRGM;BCL2L1;MCL1"
"BH3 Domain Binding (GO:0051434)","4/5",0.025318638402382,0.693341174711383,0,0,10.0611814345992,36.9870606617737,"BCL2;IRGM;BCL2L1;MCL1"
"CoA Carboxylase Activity (GO:0016421)","4/5",0.025318638402382,0.693341174711383,0,0,10.0611814345992,36.9870606617737,"MCCC2;PCCA;PCCB;ACACB"
"arachidonate-CoA Ligase Activity (GO:0047676)","4/5",0.025318638402382,0.693341174711383,0,0,10.0611814345992,36.9870606617737,"ACSL1;ACSL5;ACSL4;ACSL3"
"Protein Kinase A Regulatory Subunit Binding (GO:0034237)","11/22",0.0265172472951279,0.708010502779914,0,0,2.51663439535293,9.13528197928854,"ARFGEF1;ARFGEF2;RYR2;PRRC1;AKAP7;AKAP6;SPATC1L;EZR;PJA2;WASF3;AKAP1"
